orszagok,ev,fr_ferfi,fr_no,koktatas_ferfi,gyerekek_szama,onfoglal_ferfi,havi_jovedelem,gdp,exp,koktatas_no,onfoglal_no,sza
Észtország,2014,78.40,71.90,84.00,1.60,37.40,1333.40,28945.47,16412.60,92.20,15.50,21.80
Észtország,2015,80.00,73.70,84.30,1.60,37.10,1181.20,29175.93,15976.00,91.00,18.80,21.60
Észtország,2016,80.50,73.70,84.80,1.60,37.60,1267.60,31312.75,16747.50,92.20,19.30,21.70
Észtország,2017,81.70,76.80,84.20,1.60,41.80,1376.10,33821.93,18068.20,91.80,18.20,21.00
Észtország,2018,82.80,76.80,84.30,1.70,44.70,1546.30,36249.36,19226.20,91.70,18.80,21.90
Észtország,2019,83.50,77.50,85.70,1.70,46.70,1575.10,37850.07,20534.80,92.20,19.80,21.70
Észtország,2020,81.30,76.90,85.70,1.70,46.00,1650.20,37600.59,19099.70,92.90,18.10,20.70
Finnország,2012,74.60,71.30,82.30,2.00,203.80,4147.90,40873.10,78019.00,87.40,95.00,13.20
Finnország,2013,73.90,71.00,83.50,2.10,199.30,4347.50,41493.14,77678.00,88.40,93.00,11.80
Finnország,2014,73.20,71.20,83.90,2.00,200.40,4399.80,41757.40,75479.00,89.20,98.50,12.80
Finnország,2015,72.80,70.70,85.20,2.00,200.60,3724.30,42497.70,74845.00,90.20,98.30,12.40
Finnország,2016,74.00,70.80,85.70,2.00,199.90,3754.60,44934.45,75719.00,90.50,94.10,11.60
Finnország,2017,75.10,71.30,85.60,2.00,184.40,3843.60,47570.13,84975.00,91.20,93.80,11.50
Finnország,2018,77.20,73.40,86.60,2.00,187.20,4108.20,49580.61,89810.00,91.80,97.00,12.00
Finnország,2019,77.80,74.50,87.70,2.00,189.40,3975.80,50321.54,95657.00,92.50,103.00,11.60
Finnország,2020,77.10,73.80,88.70,2.00,189.70,4061.70,50506.29,85104.00,93.50,97.40,12.20
Franciaország,2012,73.60,66.00,73.30,1.80,1909.60,3778.70,37679.12,609994.00,71.60,824.20,14.10
Franciaország,2013,73.30,66.40,76.00,1.80,1860.80,3964.90,39523.86,621707.00,74.10,836.40,13.70
Franciaország,2014,73.10,67.00,77.70,1.80,1920.10,3993.80,40144.03,637764.00,75.70,913.10,13.30
Franciaország,2015,73.30,67.40,78.30,1.80,1895.40,3380.80,40850.00,672558.00,76.90,921.90,13.60
Franciaország,2016,73.80,67.70,78.80,1.80,1928.90,3419.50,42924.61,675769.00,77.60,946.30,13.60
Franciaország,2017,74.70,68.10,79.00,1.80,1883.00,3561.00,44577.06,710965.00,77.80,980.40,13.20
Franciaország,2018,75.30,68.90,79.70,1.80,1928.70,3792.70,46576.60,749491.00,79.00,983.10,13.40
Franciaország,2019,75.30,69.40,80.40,1.80,1980.30,3649.10,49072.36,770099.00,80.60,1038.30,13.60
Franciaország,2020,75.00,69.30,81.30,1.80,1975.20,3616.20,46983.04,641891.00,81.70,1114.70,13.80
Görögország,2012,64.70,44.60,64.10,1.60,777.90,2064.20,24911.12,54145.50,67.40,351.20,23.10
Görögország,2013,62.40,42.90,65.70,1.60,752.60,1959.30,25986.65,54338.00,68.70,341.60,23.10
Görögország,2014,62.60,43.80,67.00,1.60,733.90,1903.20,26625.06,57576.20,69.90,334.80,22.10
Görögország,2015,64.20,45.60,68.60,1.60,722.20,1586.40,26760.36,56662.30,72.10,338.00,21.40
Görögország,2016,65.70,46.20,70.20,1.60,715.80,1531.90,27511.80,54594.80,73.40,347.30,21.20
Görögország,2017,67.60,47.40,71.70,1.60,735.10,1576.60,28604.86,61976.50,74.00,346.00,20.20
