orszagok,ev,fr_ferfi,fr_no,koktatas_ferfi,gyerekek_szama,onfoglal_ferfi,havi_jovedelem,gdp,exp,koktatas_no,onfoglal_no,sza
Svedorszag,2020,82.8,77.4,85.4,1.8,300.6,4063.5,55037.7239019555,212050.3,87.6,114.1,16.1
Szlovakia,2012,72.4,61.5,93.5,1.6,255.4,1225.9,29042.8202729641,26425.6,90,99.2,13.2
Szlovakia,2013,71.8,62,93.6,1.6,258.1,1293.1,29973.6993541529,27055.1,90.1,99.3,12.8
Szlovakia,2014,72.7,62.9,92.3,1.7,256.2,1316.2,30870.0236667425,28659.2,89.6,101.5,12.6
Szlovakia,2015,74.5,64.6,92.8,1.7,251,1142.9,31628.247175832,29974.3,90,106.4,12.3
Szlovakia,2016,76.4,67.2,93.1,1.6,260.7,1172.9,33936.0440637175,31383.2,90.6,114.7,12.7
Szlovakia,2017,77,69.4,92.7,1.7,259.1,1246.9,36507.5530416531,35753.4,90.2,115.6,12.4
Szlovakia,2018,78.8,70.3,92.6,1.7,260.3,1374.4,38961.5443523867,38899.9,90.7,108.7,12.2
Szlovakia,2019,79.4,71.7,92.1,1.7,265.7,1383,40670.8778673103,40635.6,90.6,111,11.9
Szlovakia,2020,78.2,70.9,93.3,1.6,260.2,1450.6,39768.6327915153,36541.2,92,106.1,11.4
Szlovenia,2012,71.1,64.2,86.2,1.6,74.6,2306.9,29042.8202729641,26425.6,83.7,30.3,13.5
Szlovenia,2013,70.6,62.6,86.2,1.6,73.9,2398.3,29973.6993541529,27055.1,84.7,28.9,14.5
Szlovenia,2014,71,63.2,87.1,1.6,77,2432.8,30870.0236667425,28659.2,84.2,31.2,14.5
Szlovenia,2015,72.7,64.2,88,1.6,77.4,2064,31628.247175832,29974.3,85.5,32.1,14.3
Szlovenia,2016,72.7,66.2,88.6,1.7,72.9,2130.2,33936.0440637175,31383.2,86,31.1,13.9
Szlovenia,2017,76.2,69.3,88.9,1.6,72.2,2243.5,36507.5530416531,35753.4,86.9,35.3,13.3
Szlovenia,2018,78.3,71.2,88.8,1.6,79.6,2437.8,38961.5443523867,38899.9,87.4,36.7,13.3
Szlovenia,2019,79,72.5,89.3,1.7,79.5,2411.6,40670.8778673103,40635.6,88.3,34.9,12
Szlovenia,2020,77.6,71.7,91.1,1.7,70,2494.7,39768.6327915153,36541.2,89.4,33.6,12.4
